token_uid,category_code,category_name,index,regkey_raw,title,definition,examples,wire_token,definition_id,wire_token_uniqueness,category+index_uniqueness
SIGSAGR00H,AGR,Agreement / Affirm,00H,SP:AGR:00H,Shared emotional agreement or harmony with someone’s feel...,Shared emotional agreement or harmony with someone’s feeling.,I feel you|resonate|with you,agr00h,17,TRUE,TRUE
SIGSAGR00I,AGR,Agreement / Affirm,00I,SP:AGR:00I,,Acceptance of shared responsibility or collaborative input.,co-sign|joint decision|agreed effort,agr00i,18,TRUE,TRUE
SIGSAGR00J,AGR,Agreement / Affirm,00J,SP:AGR:00J,,Quick vocal expression to keep conversational flow positive.,yeah|gotcha|right on,agr00j,19,TRUE,TRUE
SIGSAGR00K,AGR,Agreement / Affirm,00K,SP:AGR:00K,Social or cultural idioms expressing strong affirmative e...,Social or cultural idioms expressing strong affirmative energy.,bet|say less|it’s on,agr00k,20,TRUE,TRUE
SIGSAGR00L,AGR,Agreement / Affirm,00L,SP:AGR:00L,,Soft or informal verbal agreement to reduce tension.,sure thing|no worries|we cool,agr00l,21,TRUE,TRUE
SIGSAGR00M,AGR,Agreement / Affirm,00M,SP:AGR:00M,,Repeating a known truth to signal loyalty or alignment.,real talk|preach|true that,agr00m,22,TRUE,TRUE
SIGSAGR00N,AGR,Agreement / Affirm,00N,SP:AGR:00N,,Vocally confirming readiness or compliance.,ready|in position|standing by,agr00n,23,TRUE,TRUE
SIGSAGR00O,AGR,Agreement / Affirm,00O,SP:AGR:00O,,Word or gesture reinforcing alliance or commitment.,solid|locked in|ride with you,agr00o,24,TRUE,TRUE
SIGSAGR00P,AGR,Agreement / Affirm,00P,SP:AGR:00P,,Colloquial acceptance of one’s fate or the inevitable.,it is what it is|fair enough|let it be,agr00p,25,TRUE,TRUE
SIGSAGR00Q,AGR,Agreement / Affirm,00Q,SP:AGR:00Q,,Cheerful affirmation in response to good news or suggestion.,awesome|sweet|cool,agr00q,26,TRUE,TRUE
SIGSAGR00R,AGR,Agreement / Affirm,00R,SP:AGR:00R,,Polite or neutral agreement used in professional settings.,noted|understood|affirmative,agr00r,27,TRUE,TRUE
SIGSAGR00S,AGR,Agreement / Affirm,00S,SP:AGR:00S,,Acknowledging alignment in thought or belief system.,same here|agreed|I think so too,agr00s,28,TRUE,TRUE
SIGSAGR00T,AGR,Agreement / Affirm,00T,SP:AGR:00T,,Supportive repetition to show encouragement.,you got this|yes you can|keep going,agr00t,29,TRUE,TRUE
SIGSAGR00U,AGR,Agreement / Affirm,00U,SP:AGR:00U,,Choral or group repetition used in rituals or protest.,we agree|together|in unity,agr00u,30,TRUE,TRUE
SIGSAGR00V,AGR,Agreement / Affirm,00V,SP:AGR:00V,,"Quick, affirming exclamation used in digital/text settings.",👍|✅|💯,agr00v,31,TRUE,TRUE
SIGSAGR00W,AGR,Agreement / Affirm,00W,SP:AGR:00W,,Linguistic mirroring to build social rapport.,me too|same here|I was just thinking that,agr00w,32,TRUE,TRUE
SIGSAGR00X,AGR,Agreement / Affirm,00X,SP:AGR:00X,,Agreement through shared values or ethics.,morally aligned|principled|with integrity,agr00x,33,TRUE,TRUE
SIGSAGR00Y,AGR,Agreement / Affirm,00Y,SP:AGR:00Y,,Reluctant agreement under social or emotional pressure.,I guess|if I must|okay then,agr00y,34,TRUE,TRUE
SIGSAGR00Z,AGR,Agreement / Affirm,00Z,SP:AGR:00Z,,Celebratory affirmation showing success or excitement.,nailed it|done deal|let’s go,agr00z,35,TRUE,TRUE
SIGSAGR010,AGR,Agreement / Affirm,010,SP:AGR:010,,Agreement through symbolic action rather than speech.,handshake|nod|fist bump,agr010,36,TRUE,TRUE
SIGSAGR011,AGR,Agreement / Affirm,011,SP:AGR:011,,Encoded or in-group phrase for collective assent.,one voice|on code|we move,agr011,37,TRUE,TRUE
SIGSAGR012,AGR,Agreement / Affirm,012,SP:AGR:012,,Verbal cue indicating alignment with rules or expectations.,check|on point|according to plan,agr012,38,TRUE,TRUE
SIGSAGR013,AGR,Agreement / Affirm,013,SP:AGR:013,,Spiritual or energetic affirmation of presence or truth.,so mote it be|spirit agrees|amen-rah,agr013,39,TRUE,TRUE
SIGSAGR014,AGR,Agreement / Affirm,014,SP:AGR:014,Refrain indicating approval of the current topic or direc...,Refrain indicating approval of the current topic or direction.,go on|I’m listening|continue,agr014,40,TRUE,TRUE
SIGSAGR015,AGR,Agreement / Affirm,015,SP:AGR:015,,Affirming another’s action or performance with approval.,good job|well done|respect,agr015,41,TRUE,TRUE
SIGSAGR016,AGR,Agreement / Affirm,016,SP:AGR:016,,Simple repetition of agreement to maintain momentum.,right|true|yeah yeah,agr016,42,TRUE,TRUE
SIGSAGR017,AGR,Agreement / Affirm,017,SP:AGR:017,,"Sincere acceptance of another’s truth, even if unshared.",I hear you|I can see that|makes sense to you,agr017,43,TRUE,TRUE
SIGSAGR018,AGR,Agreement / Affirm,018,SP:AGR:018,,Quick digital shorthand for confirmation.,k|ok|roger,agr018,44,TRUE,TRUE
SIGSAGR019,AGR,Agreement / Affirm,019,SP:AGR:019,,Formal language of contractual or legal agreement.,hereby agree|contracted|stipulated,agr019,45,TRUE,TRUE
SIGSAGR01A,AGR,Agreement / Affirm,01A,SP:AGR:01A,,Verbal alignment with a shared emotional state.,right there with you|same vibes|I know the feeling,agr01a,46,TRUE,TRUE
SIGSAGR01B,AGR,Agreement / Affirm,01B,SP:AGR:01B,,Supportive approval of a plan or method.,solid plan|that’ll work|go ahead,agr01b,47,TRUE,TRUE
SIGSAGR01C,AGR,Agreement / Affirm,01C,SP:AGR:01C,,An offering of unity during challenge or tension.,we got this|together|not alone,agr01c,48,TRUE,TRUE
SIGSAGR01D,AGR,Agreement / Affirm,01D,SP:AGR:01D,,Echoing the finality or closure of a decision.,it’s settled|done|case closed,agr01d,49,TRUE,TRUE
SIGSAGR01E,AGR,Agreement / Affirm,01E,SP:AGR:01E,Cultural slang for expressing agreement with style or emp...,Cultural slang for expressing agreement with style or emphasis.,facts|say less|that part,agr01e,50,TRUE,TRUE
SIGSAGR01F,AGR,Agreement / Affirm,01F,SP:AGR:01F,,Expressing trust in another’s judgment or opinion.,I trust you|go for it|your call,agr01f,51,TRUE,TRUE
SIGSAGR01G,AGR,Agreement / Affirm,01G,SP:AGR:01G,,Simple utterance to agree without deep engagement.,mhmm|yeah|uh-huh,agr01g,52,TRUE,TRUE
SIGSAGR01H,AGR,Agreement / Affirm,01H,SP:AGR:01H,,Spoken commitment to future action in agreement.,count me in|I’m down|let’s do it,agr01h,53,TRUE,TRUE
SIGSAGR01I,AGR,Agreement / Affirm,01I,SP:AGR:01I,,Nostalgic or historical agreement based on shared past.,like old times|remember?|always been like that,agr01i,54,TRUE,TRUE
SIGSAGR01J,AGR,Agreement / Affirm,01J,SP:AGR:01J,,Alignment with ethical or moral standards.,just|fair|right thing,agr01j,55,TRUE,TRUE
SIGSAGR01K,AGR,Agreement / Affirm,01K,SP:AGR:01K,,Consent granted in private or discreet tone.,if you want|go ahead|I’m fine with that,agr01k,56,TRUE,TRUE
SIGSAGR01L,AGR,Agreement / Affirm,01L,SP:AGR:01L,,Shared agreement reinforced by tradition or culture.,as always|our way|the usual,agr01l,57,TRUE,TRUE
SIGSAGR01M,AGR,Agreement / Affirm,01M,SP:AGR:01M,,Agreement stated in the form of encouragement.,do it!|go for it|you should,agr01m,58,TRUE,TRUE
SIGSAGR01N,AGR,Agreement / Affirm,01N,SP:AGR:01N,,Submission to a larger will or majority.,as decided|majority rules|I’ll follow,agr01n,59,TRUE,TRUE
SIGSAGR01O,AGR,Agreement / Affirm,01O,SP:AGR:01O,,Grudging or weary expression of agreement.,fine|whatever|if it gets it done,agr01o,60,TRUE,TRUE
SIGSAGR01P,AGR,Agreement / Affirm,01P,SP:AGR:01P,,Silent or implied agreement without words.,eye contact|quiet nod|unspoken,agr01p,61,TRUE,TRUE
SIGSAGR01Q,AGR,Agreement / Affirm,01Q,SP:AGR:01Q,,Marking a threshold of commitment to agreement.,I’m in|from now on|I commit,agr01q,62,TRUE,TRUE
SIGSAGR01R,AGR,Agreement / Affirm,01R,SP:AGR:01R,,Agreement based on strategic alignment.,aligned|in sync|on mission,agr01r,63,TRUE,TRUE
SIGSAGR01S,AGR,Agreement / Affirm,01S,SP:AGR:01S,,Vocally confirming shared purpose or cause.,same goal|for the mission|with purpose,agr01s,64,TRUE,TRUE
SIGSAGR01T,AGR,Agreement / Affirm,01T,SP:AGR:01T,,Expression of complete agreement across all points.,100%|no doubt|totally,agr01t,65,TRUE,TRUE
SIGSAGR01U,AGR,Agreement / Affirm,01U,SP:AGR:01U,,Personal affirmation of identity or experience.,that’s me|I do too|same story,agr01u,66,TRUE,TRUE
SIGSAGR01V,AGR,Agreement / Affirm,01V,SP:AGR:01V,,Relational agreement showing deference or support.,you lead|I got you|back you up,agr01v,67,TRUE,TRUE
SIGSAGR01W,AGR,Agreement / Affirm,01W,SP:AGR:01W,,Phrasing that confirms agreement based on logic or reason.,"makes sense|logically, yes|follows",agr01w,68,TRUE,TRUE
SIGSAGR01X,AGR,Agreement / Affirm,01X,SP:AGR:01X,,Phrase indicating agreement without emotional attachment.,noted|confirmed|acknowledged,agr01x,69,TRUE,TRUE
SIGSAGR01Y,AGR,Agreement / Affirm,01Y,SP:AGR:01Y,,Energetic approval used to rally or affirm group energy.,let’s go!|hell yeah|bring it,agr01y,70,TRUE,TRUE
SIGSAGR01Z,AGR,Agreement / Affirm,01Z,SP:AGR:01Z,,Soft encouragement through affirmation.,go ahead|you got this|no problem,agr01z,71,TRUE,TRUE
SIGSAGR020,AGR,Agreement / Affirm,020,SP:AGR:020,,Delayed but clear expression of support or consent.,on second thought|okay then|I’m with it,agr020,72,TRUE,TRUE
SIGSAGR021,AGR,Agreement / Affirm,021,SP:AGR:021,,Affirmation given through shared humor or play.,"you crazy|right?!|I know, right?",agr021,73,TRUE,TRUE
SIGSAGR022,AGR,Agreement / Affirm,022,SP:AGR:022,,Spoken recognition of shared identity or struggle.,same boat|I know|with you,agr022,74,TRUE,TRUE
SIGSAGR023,AGR,Agreement / Affirm,023,SP:AGR:023,,Simple assent used to maintain peace or flow.,okay|sure|you’re right,agr023,75,TRUE,TRUE
SIGSAGR024,AGR,Agreement / Affirm,024,SP:AGR:024,,Professional confirmation using workplace jargon.,copied|roger that|in sync,agr024,76,TRUE,TRUE
SIGSAGR025,AGR,Agreement / Affirm,025,SP:AGR:025,,Minimal but clear cue to proceed.,go|do it|execute,agr025,77,TRUE,TRUE
SIGSAGR026,AGR,Agreement / Affirm,026,SP:AGR:026,,Agreement issued by silence or absence of protest.,no objection|consent by silence|all clear,agr026,78,TRUE,TRUE
SIGSAGR027,AGR,Agreement / Affirm,027,SP:AGR:027,,Repetitive echo used in ceremonial or liturgical agreement.,amen|so be it|thus it is,agr027,79,TRUE,TRUE
SIGSAGR028,AGR,Agreement / Affirm,028,SP:AGR:028,,Spoken signal of willingness to accept change.,let’s do it|I’m ready|bring it on,agr028,80,TRUE,TRUE
SIGSAGR029,AGR,Agreement / Affirm,029,SP:AGR:029,,Commitment through repeated affirmation over time.,still with you|as always|unchanged,agr029,81,TRUE,TRUE
SIGSAGR02A,AGR,Agreement / Affirm,02A,SP:AGR:02A,,Summative approval of a completed idea or act.,that’s it|exactly|done right,agr02a,82,TRUE,TRUE
SIGSAGR02B,AGR,Agreement / Affirm,02B,SP:AGR:02B,,Harmonizing vocal phrase that reflects group unity.,together|one|unified,agr02b,83,TRUE,TRUE
SIGSAGR02C,AGR,Agreement / Affirm,02C,SP:AGR:02C,,Rapid agreement expressed digitally.,✅|same,agr02c,84,TRUE,TRUE
SIGSAGR02D,AGR,Agreement / Affirm,02D,SP:AGR:02D,,Verbal pact or statement of shared commitment.,deal|agreement|count me in,agr02d,85,TRUE,TRUE
SIGSAGR02E,AGR,Agreement / Affirm,02E,SP:AGR:02E,,Coded agreement used in insider groups.,green light|thumbs up|good to go,agr02e,86,TRUE,TRUE
SIGSAGR02F,AGR,Agreement / Affirm,02F,SP:AGR:02F,,Playful or sarcastic alignment used for levity.,"sure thing, boss|as you wish|totally (not)",agr02f,87,TRUE,TRUE
SIGSAGR02G,AGR,Agreement / Affirm,02G,SP:AGR:02G,,Agreement reinforced by body language cues.,raised eyebrows|tilt head|soft smile,agr02g,88,TRUE,TRUE
SIGSAGR02H,AGR,Agreement / Affirm,02H,SP:AGR:02H,,Respectful verbal signal of support.,with respect|yes sir|yes ma’am,agr02h,89,TRUE,TRUE
SIGSAGR02I,AGR,Agreement / Affirm,02I,SP:AGR:02I,,Creative or poetic phrase affirming shared reality.,spoken into being|we breathe the same air|truth shared,agr02i,90,TRUE,TRUE
SIGSAGR02J,AGR,Agreement / Affirm,02J,SP:AGR:02J,,Digital or emoji-based signs of alignment.,🙌|🔥|👌,agr02j,91,TRUE,TRUE
SIGSAGR02K,AGR,Agreement / Affirm,02K,SP:AGR:02K,,Summarized signal of long-term agreement.,as always|still true|never changed,agr02k,92,TRUE,TRUE
SIGSAGR02L,AGR,Agreement / Affirm,02L,SP:AGR:02L,,Affirmation using irony or reverse emphasis.,"yeah, *sure*|right...|totally",agr02l,93,TRUE,TRUE
SIGSAGR02M,AGR,Agreement / Affirm,02M,SP:AGR:02M,,Sudden alignment after new understanding.,ohhh|I see|you’re right,agr02m,94,TRUE,TRUE
SIGSAGR02N,AGR,Agreement / Affirm,02N,SP:AGR:02N,,Multilingual or cross-cultural affirmatives.,sí|hai|da,agr02n,95,TRUE,TRUE
SIGSAGR02O,AGR,Agreement / Affirm,02O,SP:AGR:02O,,Colloquial signal of unity or allegiance.,we locked in|I got you|we ride,agr02o,96,TRUE,TRUE
SIGSAGR02P,AGR,Agreement / Affirm,02P,SP:AGR:02P,,Soft whisper or echo of agreement.,yep|yeah|mmm,agr02p,97,TRUE,TRUE
SIGSAGR02Q,AGR,Agreement / Affirm,02Q,SP:AGR:02Q,,Agreement through symbolic timing or rhythm.,beat drop|cue|on time,agr02q,98,TRUE,TRUE
SIGSAGR02R,AGR,Agreement / Affirm,02R,SP:AGR:02R,,"Agreement used in ritual, practice, or mantra.",truth|namaste|let it be,agr02r,99,TRUE,TRUE
SIGSAGR02S,AGR,Agreement / Affirm,02S,SP:AGR:02S,,"Intentional, verbal acceptance of current reality.",I accept|it’s true|this is real,agr02s,100,TRUE,TRUE
SIGSNEG001,NEG,Negation / Denial,001,SP:NEG:001,A rejection of truth or accuracy in response to a stateme...,A rejection of truth or accuracy in response to a statement or claim.,no|wrong|false,neg001,101,TRUE,TRUE
SIGSNEG002,NEG,Negation / Denial,002,SP:NEG:002,A verbal expression used to refute an accusation or assum...,A verbal expression used to refute an accusation or assumption.,never|I didn’t|that’s not true,neg002,102,TRUE,TRUE
SIGSNEG003,NEG,Negation / Denial,003,SP:NEG:003,,The act of declining an offer or suggestion.,no thanks|I’ll pass|not interested,neg003,103,TRUE,TRUE
SIGSNEG004,NEG,Negation / Denial,004,SP:NEG:004,,"Complete dismissal of an idea, often emphatic.",absolutely not|no way|not a chance,neg004,104,TRUE,TRUE
SIGSNEG005,NEG,Negation / Denial,005,SP:NEG:005,,Expression of opposition or contradiction to another’s view.,disagree|not quite|on the contrary,neg005,105,TRUE,TRUE
SIGSNEG006,NEG,Negation / Denial,006,SP:NEG:006,,A denial based on lack of evidence or belief.,I doubt it|unproven|unlikely,neg006,106,TRUE,TRUE
SIGSNEG007,NEG,Negation / Denial,007,SP:NEG:007,,Negation of a prior statement or assumption.,scratch that|never mind|cancel that,neg007,107,TRUE,TRUE
SIGSNEG008,NEG,Negation / Denial,008,SP:NEG:008,,Casual denial to maintain social harmony.,nah|not really|I don’t think so,neg008,108,TRUE,TRUE
SIGSNEG009,NEG,Negation / Denial,009,SP:NEG:009,,Formal or legal contradiction of a claim.,refute|contest|deny under oath,neg009,109,TRUE,TRUE
SIGSNEG00A,NEG,Negation / Denial,00A,SP:NEG:00A,,Nonverbal cues of disagreement or rejection.,head shake|crossed arms|turned away,neg00a,110,TRUE,TRUE
SIGSNEG00B,NEG,Negation / Denial,00B,SP:NEG:00B,Denial conveyed through silence or withholding acknowledg...,Denial conveyed through silence or withholding acknowledgment.,(no response)|ignored|turned away,neg00b,111,TRUE,TRUE
SIGSNEG00C,NEG,Negation / Denial,00C,SP:NEG:00C,,Philosophical or abstract negation of reality or state.,void|null|not-being,neg00c,112,TRUE,TRUE
SIGSNEG00D,NEG,Negation / Denial,00D,SP:NEG:00D,,Negation through irony or sarcastic contradiction.,"yeah, right|sure|totally not",neg00d,113,TRUE,TRUE
SIGSNEG00E,NEG,Negation / Denial,00E,SP:NEG:00E,,Colloquial or playful expression of disagreement.,nah|nope|don’t think so,neg00e,114,TRUE,TRUE
SIGSNEG00F,NEG,Negation / Denial,00F,SP:NEG:00F,,Firm denial used in professional or legal contexts.,objection|denied|overruled,neg00f,115,TRUE,TRUE
SIGSNEG00G,NEG,Negation / Denial,00G,SP:NEG:00G,,Vocalization used to block or interrupt agreement.,no no|wait|hold up,neg00g,116,TRUE,TRUE
SIGSNEG00H,NEG,Negation / Denial,00H,SP:NEG:00H,,Denial based on moral or ethical stance.,unacceptable|immoral|wrong,neg00h,117,TRUE,TRUE
SIGSNEG00I,NEG,Negation / Denial,00I,SP:NEG:00I,,Symbolic or ritualistic form of negation.,banished|cast out|excluded,neg00i,118,TRUE,TRUE
SIGSNEG00J,NEG,Negation / Denial,00J,SP:NEG:00J,,Negation by reversal or undoing of previous action.,revoke|undo|take back,neg00j,119,TRUE,TRUE
SIGSNEG00K,NEG,Negation / Denial,00K,SP:NEG:00K,,Lack of validation or confirmation.,uncertain|unverified|unconfirmed,neg00k,120,TRUE,TRUE
SIGSNEG00L,NEG,Negation / Denial,00L,SP:NEG:00L,,Rejection based on logic or reasoning.,illogical|doesn’t follow|not valid,neg00l,121,TRUE,TRUE
SIGSNEG00M,NEG,Negation / Denial,00M,SP:NEG:00M,,Denial based on authority or social role.,not authorized|unauthorized|not allowed,neg00m,122,TRUE,TRUE
SIGSNEG00N,NEG,Negation / Denial,00N,SP:NEG:00N,,Gentle or hesitant denial used to soften rejection.,maybe not|not today|not really,neg00n,123,TRUE,TRUE
SIGSNEG00O,NEG,Negation / Denial,00O,SP:NEG:00O,,Noncommittal refusal without explanation.,I’d rather not|pass|not now,neg00o,124,TRUE,TRUE
SIGSNEG00P,NEG,Negation / Denial,00P,SP:NEG:00P,,Formal refutation of ideology or worldview.,denounce|repudiate|reject,neg00p,125,TRUE,TRUE
SIGSNEG00Q,NEG,Negation / Denial,00Q,SP:NEG:00Q,,Denial tied to emotional resistance or fear.,I can’t|not ready|too much,neg00q,126,TRUE,TRUE
SIGSNEG00R,NEG,Negation / Denial,00R,SP:NEG:00R,,Negation as a coping or defense mechanism.,didn’t happen|don’t believe it|that’s not me,neg00r,127,TRUE,TRUE
SIGSNEG00S,NEG,Negation / Denial,00S,SP:NEG:00S,,Contradiction based on firsthand experience.,I was there|not what I saw|wrong memory,neg00s,128,TRUE,TRUE
SIGSNEG00T,NEG,Negation / Denial,00T,SP:NEG:00T,,Group-level rejection or cancellation.,veto|strike down|blacklisted,neg00t,129,TRUE,TRUE
SIGSNEG00U,NEG,Negation / Denial,00U,SP:NEG:00U,,A philosophical negation of fixed meaning.,nonduality|emptiness|not-self,neg00u,130,TRUE,TRUE
SIGSNEG00V,NEG,Negation / Denial,00V,SP:NEG:00V,,Firm stand against endorsement or participation.,count me out|not part of that|opposed,neg00v,131,TRUE,TRUE
SIGSNEG00W,NEG,Negation / Denial,00W,SP:NEG:00W,,Negation through retraction or withdrawal.,retract|pull back|remove,neg00w,132,TRUE,TRUE
SIGSNEG00X,NEG,Negation / Denial,00X,SP:NEG:00X,,Linguistic or cultural signals of disagreement.,nuh-uh|eh|tsk,neg00x,133,TRUE,TRUE
SIGSNEG00Y,NEG,Negation / Denial,00Y,SP:NEG:00Y,,Symbolic denial used in dream or altered states.,disappear|dissolve|voided,neg00y,134,TRUE,TRUE
SIGSNEG00Z,NEG,Negation / Denial,00Z,SP:NEG:00Z,,Negation by substitution with opposite.,invert|reverse|flip,neg00z,135,TRUE,TRUE
SIGSNEG010,NEG,Negation / Denial,010,SP:NEG:010,,Political or ideological contradiction.,resist|oppose|boycott,neg010,136,TRUE,TRUE
SIGSNEG011,NEG,Negation / Denial,011,SP:NEG:011,,Coded or polite denial used in diplomacy.,we’ll see|perhaps not|unfortunate,neg011,137,TRUE,TRUE
SIGSNEG012,NEG,Negation / Denial,012,SP:NEG:012,,Casual withdrawal from agreement or plan.,I’m out|change of mind|no longer,neg012,138,TRUE,TRUE
SIGSNEG013,NEG,Negation / Denial,013,SP:NEG:013,,Spiritual or metaphysical negation of identity.,egoless|not-self|beyond form,neg013,139,TRUE,TRUE
SIGSNEG014,NEG,Negation / Denial,014,SP:NEG:014,,Denial using historical or comparative framing.,not like before|no longer|unlike them,neg014,140,TRUE,TRUE
SIGSNEG015,NEG,Negation / Denial,015,SP:NEG:015,,Reductive denial of complexity or nuance.,just wrong|makes no sense|oversimplified,neg015,141,TRUE,TRUE
SIGSNEG016,NEG,Negation / Denial,016,SP:NEG:016,,Parental or authoritarian negation.,no means no|stop|don’t,neg016,142,TRUE,TRUE
SIGSNEG017,NEG,Negation / Denial,017,SP:NEG:017,,Scientific rejection based on falsification.,refuted|invalid|disproven,neg017,143,TRUE,TRUE
SIGSNEG018,NEG,Negation / Denial,018,SP:NEG:018,,Cultural or generational difference expressed as negation.,not my thing|back in my day|we don’t do that,neg018,144,TRUE,TRUE
SIGSNEG019,NEG,Negation / Denial,019,SP:NEG:019,,Expressive denial tied to personal boundary.,stop|don’t touch|that’s enough,neg019,145,TRUE,TRUE
SIGSNEG01A,NEG,Negation / Denial,01A,SP:NEG:01A,,Negation rooted in superstition or taboo.,unspeakable|don’t name it|not to be done,neg01a,146,TRUE,TRUE
SIGSNEG01B,NEG,Negation / Denial,01B,SP:NEG:01B,,Denial of identity or relational tie.,not family|we’re nothing|I don’t know them,neg01b,147,TRUE,TRUE
SIGSNEG01C,NEG,Negation / Denial,01C,SP:NEG:01C,,Rhetorical negation used to redirect or obscure.,let’s not go there|not the point|irrelevant,neg01c,148,TRUE,TRUE
SIGSNEG01D,NEG,Negation / Denial,01D,SP:NEG:01D,,Denial as a form of protective denialism.,fake news|conspiracy|made up,neg01d,149,TRUE,TRUE
SIGSNEG01E,NEG,Negation / Denial,01E,SP:NEG:01E,,Negation based in existential skepticism.,meaningless|pointless|what’s the use,neg01e,150,TRUE,TRUE
SIGSNEG01F,NEG,Negation / Denial,01F,SP:NEG:01F,,Playful contradiction or teasing refusal.,nah fam|nope!|not today,neg01f,151,TRUE,TRUE
SIGSNEG01G,NEG,Negation / Denial,01G,SP:NEG:01G,,Disengagement or withdrawal masked as indifference.,don’t care|whatever|meh,neg01g,152,TRUE,TRUE
SIGSNEG01H,NEG,Negation / Denial,01H,SP:NEG:01H,,Tactical negation to protect a strategy or secret.,classified|can’t say|not now,neg01h,153,TRUE,TRUE
SIGSNEG01I,NEG,Negation / Denial,01I,SP:NEG:01I,,Erasure or denial through systemic exclusion.,silenced|omitted|censored,neg01i,154,TRUE,TRUE
SIGSNEG01J,NEG,Negation / Denial,01J,SP:NEG:01J,,Metaphoric or symbolic negation via inversion.,shadow|anti|dark twin,neg01j,155,TRUE,TRUE
SIGSNEG01K,NEG,Negation / Denial,01K,SP:NEG:01K,,Negation using digital or software terminology.,404|null|access denied,neg01k,156,TRUE,TRUE
SIGSNEG01L,NEG,Negation / Denial,01L,SP:NEG:01L,,Denial of existence or realness.,not real|imaginary|fabricated,neg01l,157,TRUE,TRUE
SIGSNEG01M,NEG,Negation / Denial,01M,SP:NEG:01M,,Negation expressed through extreme skepticism.,prove it|highly doubtful|sus,neg01m,158,TRUE,TRUE
SIGSNEG01N,NEG,Negation / Denial,01N,SP:NEG:01N,,Obscure or veiled language signaling negation.,not quite|we’ll revisit|in review,neg01n,159,TRUE,TRUE
SIGSNEG01O,NEG,Negation / Denial,01O,SP:NEG:01O,,Loud or forceful rejection of a person or claim.,liar|untrue|falsehood,neg01o,160,TRUE,TRUE
SIGSNEG01P,NEG,Negation / Denial,01P,SP:NEG:01P,,Contrarian expression of denial to disrupt consensus.,devil’s advocate|maybe not|other side,neg01p,161,TRUE,TRUE
SIGSNEG01Q,NEG,Negation / Denial,01Q,SP:NEG:01Q,,Existential negation of narrative or story.,myth|illusion|no plot,neg01q,162,TRUE,TRUE
SIGSNEG01R,NEG,Negation / Denial,01R,SP:NEG:01R,,Negation of control or access.,locked out|denied|blocked,neg01r,163,TRUE,TRUE
SIGSNEG01S,NEG,Negation / Denial,01S,SP:NEG:01S,,Negation driven by envy or resentment.,undeserved|not fair|why them,neg01s,164,TRUE,TRUE
SIGSNEG01T,NEG,Negation / Denial,01T,SP:NEG:01T,,Logical contradiction that negates a premise.,self-defeating|inconsistent|contradictory,neg01t,165,TRUE,TRUE
